City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Condition
317,Pascagoula,US,30.3658,-88.5561,63.03,77,100,0.0,overcast clouds
318,Rio Brilhante,BR,-21.8019,-54.5464,92.55,25,30,9.28,scattered clouds
319,Starobaltachevo,RU,56.0013,55.9213,26.49,95,100,18.5,light snow
320,Mimongo,GA,-1.6195,11.6068,70.38,94,97,2.3,moderate rain
321,Cordoba,AR,-31.4135,-64.1811,94.75,34,20,17.27,few clouds
322,Quatre Cocos,MU,-20.2078,57.7625,74.08,73,100,8.41,overcast clouds
323,Port-Cartier,CA,50.0334,-66.8654,20.75,82,11,5.64,few clouds
324,Mishkino,RU,55.3389,63.9175,10.45,81,100,21.09,overcast clouds
325,Abha,SA,18.2164,42.5053,53.42,76,0,0.0,clear sky
326,Kayes,ML,14.0,-11.0,77.5,16,100,7.18,overcast clouds
327,Barcelos,PT,41.5388,-8.6151,59.92,96,98,10.33,overcast clouds
328,Barsovo,RU,61.1667,73.1667,-3.87,89,100,14.67,overcast clouds
329,Zhezkazgan,KZ,47.8043,67.7144,3.61,100,98,0.83,overcast clouds
330,Hamilton,US,39.1834,-84.5333,45.99,92,100,10.36,overcast clouds
331,Kholmogory,RU,64.2229,41.656,25.45,95,100,6.69,overcast clouds
332,Amapa,BR,1.0,-52.0,75.2,96,98,4.29,overcast clouds
333,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,75.69,56,16,15.79,few clouds
334,Ciudad Guayana,VE,8.3533,-62.6528,85.51,64,98,11.25,overcast clouds
335,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,102.74,21,48,5.39,light rain
336,Praia Da Vitoria,PT,38.7333,-27.0667,60.76,82,20,18.61,few clouds
337,Telemaco Borba,BR,-24.3239,-50.6156,71.56,59,90,3.31,overcast clouds
338,Petersburg,US,37.2279,-77.4019,55.92,94,100,9.22,overcast clouds
339,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,81,33,15.57,scattered clouds
340,Bjornevatn,NO,69.6672,29.9847,17.94,93,75,6.91,broken clouds
341,Cartagena,CO,10.3997,-75.5144,87.42,66,20,14.97,few clouds
342,Utena,LT,55.5,25.6,35.17,100,100,10.42,light snow
343,Maraa,BR,-1.8333,-65.3667,84.56,73,81,1.32,moderate rain
